id,tile,date,description
2025-02-03_T31TCH,T31TCH,2025-02-03,"Caso A: 100% despejado, nieve pura (Ene/Feb/Mar)"
2024-02-11_T31TDH,T31TDH,2024-02-11,"Caso A: 100% despejado, nieve pura (Ene/Feb/Mar)"
2025-02-13_T31TCH,T31TCH,2025-02-13,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2024-02-21_T31TDH,T31TDH,2024-02-21,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2022-02-24_T31TCH,T31TCH,2022-02-24,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2024-03-12_T31TDH,T31TDH,2024-03-12,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2024-03-15_T31TCH,T31TCH,2024-03-15,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2024-03-17_T31TDH,T31TDH,2024-03-17,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
2022-12-01_T31TCG,T31TCG,2022-12-01,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
2024-12-17_T31TDG,T31TDG,2024-12-17,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
2022-12-21_T31TCG,T31TCG,2022-12-21,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
2024-01-22_T31TDG,T31TDG,2024-01-22,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
2026-01-09_T31TCG,T31TCG,2026-01-09,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
2025-01-01_T31TDG,T31TDG,2025-01-01,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
2024-12-10_T31TCG,T31TCG,2024-12-10,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
2025-01-11_T31TDG,T31TDG,2025-01-11,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
2024-01-07_T31TDF,T31TDF,2024-01-07,Caso C: 100% despejado ciudad y mar (Barcelona)
2024-08-09_T31TDF,T31TDF,2024-08-09,Caso C: 100% despejado ciudad y mar (Barcelona)
2024-01-27_T31TDF,T31TDF,2024-01-27,Caso C: 30% nube borde mar/ciudad (Contraste)
2024-07-15_T31TDF,T31TDF,2024-07-15,Caso C: 30% nube borde mar/ciudad (Contraste)
2024-07-25_T31TDF,T31TDF,2024-07-25,Caso C: 30% nube borde mar/ciudad (Contraste)
2024-08-29_T31TDF,T31TDF,2024-08-29,Caso C: 30% nube borde mar/ciudad (Contraste)
2024-08-24_T31TDF,T31TDF,2024-08-24,Caso C: 30% nube borde mar/ciudad (Contraste)
2022-07-14_T31TCF,T31TCF,2022-07-14,Caso C: 30% nube borde mar/ciudad (Contraste)
2021-06-09_T31TCF,T31TCF,2021-06-09,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
2022-07-14_T30TYL,T30TYL,2022-07-14,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
2022-07-14_T31TBE,T31TBE,2022-07-14,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
2022-07-19_T31TCF,T31TCF,2022-07-19,Caso D: Secano arido nubes 50% (Ago)
2022-07-29_T31TCF,T31TCF,2022-07-29,Caso D: Secano arido nubes 50% (Ago)
2022-10-12_T31TCF,T31TCF,2022-10-12,Caso D: Secano arido nubes 50% (Ago)
