id,tile,date,description
TR_A01,T31TCH,2025-02-03,"Caso A: 100% despejado, nieve pura (Ene/Feb/Mar)"
TR_A02,T31TDH,2024-02-11,"Caso A: 100% despejado, nieve pura (Ene/Feb/Mar)"
TR_A03,T31TCH,2025-02-13,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_A04,T31TDH,EDITAR_FECHA,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_A05,T31TCH,2025-03-17,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_A06,T31TDH,2024-03-12,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_A07,T31TCH,EDITAR_FECHA,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_A08,T31TDH,2024-03-17,Caso A: 50% nube / 50% nieve (Ene/Feb/Mar)
TR_B01,T31TCG,2025-12-02,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
TR_B02,T31TDG,EDITAR_FECHA,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
TR_B03,T31TCG,2025-12-12,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
TR_B04,T31TDG,EDITAR_FECHA,Caso B: Niebla de invalle plana y blanca (Dic/Ene)
TR_B05,T31TCG,2026-01-09,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
TR_B06,T31TDG,2025-01-01,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
TR_B07,T31TCG,2024-12-10,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
TR_B08,T31TDG,EDITAR_FECHA,Caso B: Cirros o cumulos de verano 30-50% (Jun/Jul)
TR_C01,T31TDF,2024-01-07,Caso C: 100% despejado ciudad y mar (Barcelona)
TR_C02,T31TDF,2024-08-09,Caso C: 100% despejado ciudad y mar (Barcelona)
TR_C03,T31TDF,2024-01-27,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_C04,T31TDF,2024-07-15,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_C05,T31TDF,2024-07-25,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_C06,T31TDF,2024-08-29,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_C07,T31TDF,2024-08-24,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_C08,T31TDF,EDITAR_FECHA,Caso C: 30% nube borde mar/ciudad (Contraste)
TR_D01,T31TCF,2022-07-01,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
TR_D02,T31TCF,EDITAR_FECHA,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
TR_D03,T31TBE,EDITAR_FECHA,Caso D: Arrozales inundados Ebro nubes 20-40% (May/Jun)
TR_D04,T31TCF,2022-07-19,Caso D: Secano arido nubes 50% (Ago)
TR_D05,T31TCF,2022-07-29,Caso D: Secano arido nubes 50% (Ago)
TR_D06,T31TCF,2022-10-12,Caso D: Secano arido nubes 50% (Ago)
